Course Name,Branch,State,College,University,Price
Bachelor of Engineering,Computer Science,Maharashtra,College of Engineering Pune,University of Pune,100000
Bachelor of Technology,Electronics and Communication Engineering,Telangana,Indian Institute of Technology Hyderabad,Indian Institute of Technology Hyderabad,200000
Bachelor of Science,Physics,Delhi,Miranda House,University of Delhi,50000
Bachelor of Arts,English,West Bengal,Jadavpur University,Kolkata,80000
Bachelor of Commerce,Accounting and Finance,Maharashtra,St. Xavier's College,University of Mumbai,120000
Master of Business Administration,Management,Uttar Pradesh,Indian Institute of Management Lucknow,Indian Institute of Management Lucknow,300000
Bachelor of Pharmacy,Pharmacy,Tamil Nadu,College of Pharmacy,University of Madras,150000
Bachelor of Education,Education,Andhra Pradesh,Andhra University,Andhra University,70000
Bachelor of Laws,Law,Telangana,National Academy of Legal Studies and Research University,National Academy of Legal Studies and Research University,250000
Bachelor of Medicine and Bachelor of Surgery,Medicine,Delhi,All India Institute of Medical Sciences Delhi,All India Institute of Medical Sciences Delhi,500000
Bachelor of Dental Surgery,Dentistry,Tamil Nadu,Tamil Nadu Government Dental College and Hospital,Dr. M.G.R. Medical University,200000
Bachelor of Technology,Information Technology,Uttar Pradesh,Indian Institute of Technology Kanpur,Indian Institute of Technology Kanpur,200000
Master of Science,Computer Science,Karnataka,Indian Institute of Science Bangalore,Indian Institute of Science Bangalore,250000
Bachelor of Architecture,Architecture,Tamil Nadu,School of Architecture and Planning Anna University,Anna University,180000
Bachelor of Design,Product Design,Delhi,National Institute of Design,Ministry of Commerce and Industry,100000
Bachelor of Journalism and Mass Communication,Journalism and Mass Communication,Maharashtra,Xavier Institute of Communications,University of Mumbai,80000
Bachelor of Veterinary Science and Animal Husbandry,Veterinary Science and Animal Husbandry,Haryana,Lala Lajpat Rai University of Veterinary and Stuff
